time,lines
1721567001,23308
1721567335,680523
1721567667,689992
1721567997,694292
1721568327,698221
1721568657,702410
1721568988,704169
1721569318,707056
1721569647,708002
1721569978,708442
1721570308,709566
1721570638,711203
1721570968,712270
1721571298,712639
1721571628,713310
1721571958,713955
1721572287,715243
1721572617,716174
1721572947,716701
1721573277,716797
1721573606,717572
1721573937,717786
1721574266,718226
1721574596,719405
1721574926,719936
1721575256,720191
1721575586,720242
1721575916,720509
1721576245,720817
1721576576,720948
1721576906,721251
1721577236,721507
1721577566,721613
1721577896,721790
1721578226,721859
1721578556,722199
1721578887,725044
1721579216,725200
1721579547,725292
1721579877,725300
1721580207,725476
1721580537,726670
1721580866,726769
1721581196,726863
1721581526,727285
1721581856,727332
1721582187,727510
1721582517,727523
1721582847,727738
1721583177,727758
1721583507,727807
1721583836,727821
1721584167,727851
1721584497,727855
1721584828,727980
1721585157,728092
1721585487,728101
1721585818,728120
1721586148,728120
1721586477,728183
1721586808,728349
1721587138,728434
1721587467,728521
1721587797,728530
1721588127,728536
1721588457,728536
1721588787,728615
1721589117,728645
1721589448,728645
1721589779,728765
1721590110,728937
1721590440,729039
1721590772,729060
1721591102,729060
1721591432,729067
1721591762,729082
1721592092,729094
1721592422,729094
1721592753,729094
1721593084,729122
1721593414,729174
1721593746,729174
1721594076,729176
1721594406,729192
1721594736,729253
1721595067,729276
1721595398,729889
1721595729,729985
1721596060,730000
1721596391,730004
1721596721,730017
1721597051,730039
1721597382,730039
1721597712,730135
1721598044,730135
1721598374,730151
1721598706,730215
1721599036,730215
1721599368,730261
1721599699,730261
1721600031,730294
1721600362,730294
1721600692,730314
1721601022,730341
1721601353,730368
1721601683,730368
1721602014,730406
1721602344,730406
1721602674,730406
1721603004,730406
1721603333,730460
1721603663,730468
1721603994,730498
1721604324,730611
1721604654,730640
1721604984,730648
1721605314,730648
1721605644,730655
1721605974,730730
1721606305,730730
1721606635,730793
1721606967,730793
1721607299,730823
1721607629,730893
1721607961,730914
1721608291,730938
1721608621,730938
1721608951,730938
1721609281,731136
1721609611,731214
1721609943,731223
1721610273,731223
1721610603,731235
1721610933,731273
1721611263,731273
1721611594,731288
1721611924,731293
1721612255,731360
1721612584,731398
1721612914,731406
1721613244,731406
1721613575,731412
1721613906,731668
1721614236,731723
1721614566,731736
1721614895,731802
1721615226,731824
1721615555,731827
1721615885,731862
1721616216,731963
1721616547,731973
1721616877,731973
1721617207,731978
1721617539,731992
1721617877,731994
1721618207,732072
1721618541,732087
1721618873,732093
1721619205,732127
1721619540,732127
1721619873,732176
1721620206,732178
1721620538,732179
1721620868,732470
1721621198,732471
1721621530,732484
1721621860,732499
1721622190,732514
1721622520,732514
1721622850,732519
1721623180,732519
1721623510,732576
1721623840,732576
1721624170,732622
1721624500,732690
1721624830,732719
1721625159,732719
1721625491,732741
1721625821,732777
1721626150,732795
1721626481,732795
1721626811,732813
1721627141,732828
1721627470,732828
1721627800,732828
1721628131,732828
1721628461,732851
1721628790,732857
1721629120,732878
1721629450,732878
1721629781,732878
1721630111,732930
1721630442,732930
1721630773,732930
1721631103,732930
1721631434,732930
1721631764,732930
1721632094,732992
1721632427,732992
1721632760,732992
1721633092,732992
1721633423,733021
1721633754,733036
1721634083,733104
1721634413,733122
1721634743,733139
1721635073,733142
1721635404,733149
1721635734,733149
1721636064,733149
1721636394,733183
1721636724,733193
1721637054,733314
1721637384,733314
1721637714,733314
1721638044,733327
1721638374,733327
1721638704,733398
1721639034,733398
1721639364,733398
1721639694,733412
1721640027,733505
1721640357,733513
1721640687,733620
1721641019,733620
1721641349,733695
1721641680,733702
1721642010,733706
1721642340,733706
1721642671,733710
1721643002,733722
1721643332,733725
1721643662,733753
1721643992,733846
1721644322,733849
1721644652,733853
1721644982,733966
1721645312,733988
1721645642,733994
1721645972,733994
1721646302,733994
1721646632,733994
1721646962,733994
1721647291,734069
1721647623,734078
1721647953,734147
1721648283,734246
1721648613,734271
1721648943,734313
1721649273,734313
1721649603,734333
1721649934,734333
1721650266,734333
1721650597,734333
1721650927,734333
1721651257,734333
1721651588,734426
1721651918,734448
1721652249,734457
1721652579,734463
1721652910,734463
1721653240,734535
1721653571,734535
1721653901,734535
1721654232,734535
1721654562,734550
1721654892,734550
1721655222,734550
1721655554,734550
1721655884,734553
1721656215,734576
1721656546,734602
1721656876,734602
1721657207,734640
1721657537,734640
1721657868,734667
1721658200,734667
1721658530,734702
1721658861,734702
1721659191,734702
1721659523,734764
1721659853,734764
1721660183,734770
1721660514,734770
1721660844,734770
1721661174,734794
1721661506,734794
1721661836,734794
1721662167,734807
1721662497,734815
1721662828,734815
1721663159,734822
1721663490,734826
