time,lines
1724849889,3176
1724850253,684495
1724850586,694751
1724850920,699269
1724851254,702059
1724851585,710047
1724851918,711556
1724852253,713997
1724852586,715931
1724852919,717992
1724853254,719074
1724853586,720573
1724853919,721894
1724854252,722338
1724854585,722662
1724854917,722716
1724855251,722999
1724855583,723091
1724855917,723106
1724856250,723168
1724856583,723191
1724856916,723324
1724857251,723357
1724857584,723540
1724857917,723649
1724858249,723819
1724858583,724101
1724858918,724106
1724859250,724183
1724859582,724392
1724859916,724429
1724860250,724495
1724860583,724807
1724860918,724860
1724861250,724974
1724861583,724984
1724861915,725129
1724862248,725156
1724862581,725751
1724862916,725779
1724863249,725779
1724863583,725785
1724863915,725785
1724864247,725824
1724864612,725824
1724864947,726424
1724865281,726823
1724865614,726874
1724865947,726973
1724866280,727010
1724866614,727160
1724866946,727199
1724867279,727231
1724867628,727309
1724867975,727325
1724868327,727381
1724868685,727474
1724869043,727574
1724869395,727689
1724869753,727767
1724870107,727853
1724870469,727853
1724870826,727853
1724871185,727858
1724871546,727858
1724871904,727953
1724872259,727953
1724872623,727953
1724872987,727967
1724873350,728062
1724873707,728069
1724874068,728069
1724874432,728069
1724874788,728145
1724875145,728158
1724875507,728215
1724875868,728238
1724876230,728248
1724876589,728285
1724876946,728406
1724877306,728424
1724877663,728470
1724878023,728476
1724878385,728781
1724878744,728856
1724879109,728871
1724879471,728871
1724879827,728899
1724880183,728927
1724880540,728932
1724880896,728932
1724881250,728998
1724881604,729007
1724881959,729021
1724882310,729027
1724882665,729065
1724883017,729065
1724883379,729124
1724883740,729124
1724884098,729152
1724884452,729157
1724884809,729200
1724885165,729200
1724885525,729319
1724885887,729322
1724886247,729322
1724886607,729594
1724886974,729648
1724887335,729648
1724887695,729653
1724888059,729653
1724888430,729703
1724888798,729718
1724889167,729778
1724889527,729847
1724889889,729856
1724890249,729856
1724890610,729857
1724890969,729899
1724891329,730015
1724891692,730046
1724892047,730048
1724892401,730060
1724892757,730156
1724893114,730160
1724893470,730169
1724893828,730196
1724894182,730196
1724894542,730196
1724894901,730250
1724895262,730366
1724895621,730366
1724895982,730393
1724896341,730471
1724896702,730510
1724897060,730584
1724897419,730599
1724897775,730644
1724898131,730645
1724898491,730645
1724898848,730645
1724899207,730653
1724899560,730653
1724899912,730741
1724900265,730804
1724900621,730804
1724900979,730806
1724901344,730869
1724901707,730876
1724902071,730880
1724902433,730882
1724902795,730896
1724903150,730937
1724903507,730948
1724903859,730948
1724904209,731004
1724904557,731010
1724904903,731015
1724905258,731017
1724905610,731018
1724905968,731021
1724906326,731040
1724906689,731045
1724907054,731055
1724907418,731069
1724907776,731071
1724908138,731071
1724908496,731071
1724908859,731394
1724909220,731430
1724909581,731448
1724909943,731448
1724910299,731449
1724910665,731505
1724911023,731506
1724911384,731521
1724911745,731542
1724912101,731562
1724912465,731562
1724912828,731822
1724913190,731822
1724913555,731822
1724913912,731832
1724914262,731836
1724914611,731859
1724914958,731873
1724915301,731885
1724915649,731894
1724915996,731906
1724916342,732037
1724916689,732050
1724917042,732053
1724917398,732056
1724917743,732085
1724918091,732111
1724918439,732111
1724918789,732211
1724919130,732225
1724919482,732225
1724919831,732270
1724920177,732270
1724920535,732270
1724920886,732270
1724921242,732289
1724921604,732289
1724921962,732305
1724922322,732348
1724922682,732348
1724923045,732348
1724923406,732350
1724923771,732350
1724924137,733511
1724924505,733511
1724924875,733511
1724925237,733519
1724925598,733519
1724925964,733816
1724926325,733816
1724926682,733816
1724927044,733816
1724927405,733816
1724927764,733816
1724928120,733816
1724928474,733869
1724928829,733871
1724929183,733877
1724929540,733877
1724929898,733877
1724930258,734388
1724930618,734388
1724930981,734388
1724931340,734388
1724931699,734642
1724932057,734683
1724932413,734683
1724932772,734747
1724933128,734747
1724933484,734998
1724933849,734998
1724934213,734998
1724934576,734998
1724934939,735004
1724935298,735112
1724935655,735112
1724936016,735126
1724936373,735193
1724936734,735194
1724937093,735194
1724937453,735194
1724937814,735203
1724938169,735265
1724938529,735281
1724938891,735282
1724939252,735290
1724939615,735315
1724939974,735315
1724940334,735315
1724940694,735330
1724941055,735331
1724941416,735335
1724941775,735337
1724942142,735337
1724942505,735337
1724942871,735337
1724943234,735392
1724943591,735392
1724943950,735392
1724944309,735392
1724944671,735392
1724945032,735416
1724945402,735416
1724945770,735465
1724946136,735475
1724946503,735501
1724946862,735501
1724947225,735553
1724947586,735553
1724947945,735553
1724948308,735571
1724948670,735571
1724949035,735571
1724949398,735571
1724949763,735601
1724950119,735601
1724950476,735601
1724950830,735601
1724951189,735615
1724951552,735615
1724951915,735626
1724952277,735626
1724952637,735626
1724952996,735724
1724953354,735757
1724953713,735764
1724954071,735764
1724954431,735773
1724954790,735795
1724955147,735796
1724955505,735796
1724955864,735803
1724956221,735808
1724956580,735808
1724956936,735808
1724957297,735854
1724957656,735963
1724958013,735968
1724958372,735987
1724958729,735987
1724959084,736146
1724959441,736146
1724959799,736146
1724960159,736146
1724960516,736150
1724960875,736156
1724961235,736156
1724961592,736156
1724961949,736169
1724962304,736169
1724962661,736169
1724963018,736174
1724963378,736174
1724963740,736206
1724964100,736249
