time,lines
1722337669,11897
1722338004,576697
1722338336,579342
1722338667,590620
1722338996,593753
1722339326,594370
1722339669,594473
1722340011,594473
1722340361,594605
1722340712,595046
1722341056,595342
1722341420,595882
1722341775,595897
1722342127,595897
1722342476,595897
1722342839,595897
1722343198,597226
1722343550,597481
1722343901,597481
1722344258,597487
1722344624,597702
1722344979,597981
1722345330,598362
1722345681,598406
1722346028,598936
1722346361,598936
1722346692,598936
1722347023,598936
1722347353,598945
1722347686,600367
1722348020,600462
1722348350,600464
1722348682,600464
1722349013,600813
1722349344,600824
1722349674,600863
1722350004,601134
1722350335,601146
1722350666,601146
1722350995,601146
1722351326,601146
1722351661,601146
1722365945,601146
1722369515,601146
