time,lines
1724605209,0
1724605577,564203
1724605939,565586
1724606300,579152
1724606657,581380
1724607018,587868
1724607381,588197
1724607739,589171
1724608096,589243
1724608452,589243
1724608808,592695
1724609169,593204
1724609527,594425
1724609888,594476
1724610249,594503
1724610608,594614
1724610973,596908
1724611319,596908
1724611669,596908
1724612018,596941
1724612366,597041
1724612712,598357
1724613057,599116
1724613400,599145
1724613743,599227
1724614088,600116
1724614435,600202
1724614779,600510
1724615125,600829
1724615473,600870
1724615821,601165
1724616169,601653
1724616515,601655
1724616860,601655
1724617207,601655
1724617554,601788
1724617898,601829
1724618245,601947
1724618591,601976
1724618939,601976
1724619288,601976
1724619638,601976
1724622404,601976
