time,lines
1724850091,20
1724850397,18802
1724850702,18997
1724851007,19041
1724851313,19075
1724851618,19094
1724851924,19116
1724852229,19139
1724852534,19158
1724852840,19159
1724853146,19160
1724853451,19286
1724853757,19303
1724854062,19306
1724854368,19306
1724854673,19308
1724854978,19311
1724855284,19332
1724855589,19332
1724855895,19332
1724856201,19336
1724856507,19339
1724856812,19357
1724857118,19360
1724857423,19367
1724857729,19367
1724858034,19369
1724858340,19383
1724858646,19383
1724858952,19383
1724859258,19383
1724859563,19393
1724859869,19393
1724860175,19394
1724860481,19395
1724860786,19395
1724861091,19395
1724861397,19395
1724861703,19395
1724862008,19395
1724862316,19395
1724862622,19405
1724862927,19405
1724863233,19424
1724863539,19428
1724863844,19429
1724864150,19444
1724864456,19445
1724864762,19445
1724865067,19445
1724865375,19445
1724865681,19445
1724865986,19445
1724866292,19445
1724866597,19451
1724866904,19453
1724867210,19457
1724867516,19457
1724867822,19457
1724868127,19457
1724868433,19476
1724868739,19476
1724869044,19476
1724869352,19477
1724869658,19484
1724869964,19484
1724870270,19484
1724870575,19484
1724870881,19484
1724871187,19484
1724871493,19484
1724871799,19490
1724872104,19490
1724872410,19490
1724872716,19490
1724873022,19490
1724873327,19490
1724873633,19490
1724873939,19490
1724874244,19490
1724874550,19492
1724874856,19492
1724875162,19492
1724875468,19493
1724875773,19493
1724876079,19493
1724876385,19495
1724876691,19495
1724876996,19495
1724877301,19496
1724877607,19496
1724877912,19496
1724878218,19498
1724878524,19498
1724878830,19498
1724879135,19502
1724879441,19502
1724879746,19503
1724880052,19511
1724880358,19511
1724880663,19511
1724880969,19514
1724881275,19514
1724881580,19516
1724881886,19517
1724882191,19517
1724882497,19520
1724882802,19520
1724883108,19520
1724883413,19520
1724883719,19523
1724884024,19523
1724884330,19523
1724884635,19523
1724884941,19523
1724885247,19523
1724885552,19523
1724885858,19523
1724886163,19523
1724886469,19523
1724886775,19523
1724887080,19523
1724887385,19523
1724887691,19523
1724887996,19523
1724888302,19523
1724888608,19523
1724888913,19523
1724889219,19523
1724889524,19523
1724889830,19523
1724890136,19523
1724890442,19525
1724890748,19525
1724891053,19525
1724891359,19525
1724891665,19525
1724891970,19525
1724892276,19525
1724892582,19525
1724892887,19525
1724893193,19525
1724893499,19525
1724893805,19525
1724894111,19525
1724894416,19525
1724894722,19525
1724895028,19525
1724895334,19525
1724895639,19525
1724895945,19525
1724896250,19525
1724896556,19525
1724896862,19525
1724897167,19525
1724897473,19525
1724897778,19525
1724898083,19525
1724898389,19525
1724898694,19525
1724899000,19525
1724899306,19525
1724899612,19527
1724899917,19527
1724900223,19527
1724900528,19527
1724900834,19527
1724901139,19527
1724901445,19527
1724901751,19528
1724902057,19528
1724902362,19528
1724902668,19528
1724902974,19528
1724903279,19528
1724903585,19528
1724903890,19528
1724904197,19528
1724904502,19528
1724904808,19528
1724905114,19528
1724905420,19529
1724905726,19529
1724906031,19529
1724906337,19529
1724906643,19529
1724906949,19529
1724907254,19529
1724907560,19529
1724907866,19529
1724908172,19529
1724908478,19529
1724908783,19529
1724909089,19529
1724909394,19529
1724909700,19529
1724910005,19529
1724910311,19529
1724910616,19529
1724910922,19529
1724911227,19529
1724911532,19529
1724911838,19531
1724912143,19543
1724912449,19543
1724912754,19543
1724913060,19543
1724913365,19543
1724913671,19543
1724913976,19543
1724914282,19543
1724914587,19543
1724914893,19543
1724915198,19543
1724915504,19543
1724915809,19543
1724916115,19543
1724916420,19543
1724916725,19543
1724917031,19543
1724917336,19543
1724917642,19543
1724917948,19543
1724918253,19555
1724918559,19555
1724918864,19560
1724919170,19562
1724919475,19562
1724919780,19562
1724920086,19562
1724920391,19562
1724920697,19562
1724921002,19562
1724921308,19562
1724921613,19562
1724921919,19562
1724922224,19564
1724922530,19564
1724922835,19564
1724923141,19564
1724923447,19564
1724923752,19564
1724924058,19564
1724924363,19570
1724924668,19570
1724924974,19570
1724925279,19570
1724925584,19570
1724925890,19570
1724926195,19570
1724926501,19570
1724926807,19570
1724927115,19570
1724927423,19570
1724927729,19570
1724928035,19570
1724928342,19570
1724928647,19570
1724928953,19570
1724929259,19570
1724929565,19570
1724929871,19570
1724930177,19570
1724930484,19570
1724930789,19570
1724931095,19570
1724931402,19570
1724931708,19570
1724932014,19570
1724932320,19570
1724932626,19570
1724932932,19570
1724933238,19570
1724933545,19570
1724933851,19570
1724934157,19570
1724934463,19570
1724934768,19570
1724935074,19570
1724935379,19570
