time,lines
1722183657,2719
1722183963,17002
1722184268,17020
1722184573,17230
1722184878,17268
1722185183,17279
1722185488,17285
1722185793,17285
1722186098,17295
1722186404,17297
1722186709,17300
1722187014,17300
1722187319,17300
1722187624,17311
1722187929,17311
1722188234,17312
1722188540,17313
1722188845,17832
1722189150,17832
1722189455,17832
1722189760,17836
1722190065,17836
1722190370,17836
1722190675,17836
1722190980,17836
1722191285,17839
1722191590,17841
1722191895,17841
1722192200,17843
1722192505,17849
1722192810,17850
1722193115,17850
1722193420,18119
1722193725,18119
1722194030,18125
1722194335,18127
1722194640,18127
1722194945,18127
1722195250,18127
1722195555,18127
1722195860,18127
1722196165,18127
1722196470,18127
1722196775,18127
1722197080,18127
1722197385,18127
1722197690,18127
1722197995,18127
1722198301,18127
1722198606,18133
1722198911,18133
1722199216,18133
1722199521,18225
1722199826,18225
1722200131,18225
1722200436,18225
1722200741,18225
1722201046,18225
1722201351,18225
1722201656,18227
1722201961,18227
1722202266,18234
1722202571,18234
1722202876,18234
1722203182,18235
1722203487,18234
1722203792,18236
1722204097,18236
1722204402,18236
1722204707,18243
1722205013,18243
1722205318,18243
1722205623,18243
1722205928,18243
1722206233,18243
1722206538,18253
1722206844,18253
1722207149,18257
1722207454,18257
1722207759,18402
1722208064,18402
1722208370,18402
1722208675,18402
1722208980,18402
1722209285,18405
1722209590,18405
1722209896,18408
1722210201,18408
1722210506,18414
1722210811,18414
1722211116,18414
1722211421,18458
1722211727,18458
1722212032,18458
1722212337,18458
1722212642,18458
1722212947,18458
1722213252,18458
1722213557,18462
1722213863,18462
1722214168,18462
1722214473,18462
1722214778,18462
1722215083,18462
1722215389,18462
1722215694,18462
1722215999,18462
1722216304,18464
1722216609,18464
1722216915,18464
1722217220,18464
1722217525,18464
1722217830,18464
1722218135,18464
1722218440,18464
1722218746,18464
1722219051,18464
1722219356,18464
1722219661,18490
1722219967,18490
1722220272,18490
1722220577,18490
1722220882,18490
1722221187,18490
1722221493,18490
1722221798,18490
1722222103,18490
1722222408,18490
1722222713,18490
1722223019,18490
1722223324,18490
1722223629,18490
1722223934,18490
1722224239,18490
1722224545,18490
1722224850,18490
1722225155,18490
1722225460,18490
1722225765,18491
1722226070,18491
1722226376,18491
1722226681,18491
1722226986,18491
1722227291,18491
1722227596,18491
1722227902,18491
1722228207,18491
1722228512,18491
1722228817,18491
1722229122,18491
1722229428,18491
1722229733,18491
1722230038,18491
1722230343,18491
1722230648,18491
1722230954,18491
1722231259,18491
1722231564,18493
1722231869,18493
1722232174,18493
1722232480,18493
1722232785,18493
1722233090,18493
1722233395,18493
1722233700,18493
1722234006,18493
1722234311,18493
1722234616,18493
1722234921,18493
1722235226,18493
1722235532,18493
1722235837,18522
1722236142,18522
1722236447,18522
1722236752,18522
1722237058,18522
1722237363,18532
1722237668,18532
1722237973,18532
1722238278,18532
1722238584,18532
1722238889,18532
1722239194,18534
1722239499,18534
1722239805,18534
1722240110,18534
1722240415,18534
1722240720,18534
1722241025,18534
1722241331,18534
1722241636,18537
1722241941,18537
1722242246,18537
1722242551,18537
1722242857,18537
1722243162,18537
1722243467,18537
1722243772,18537
1722244077,18537
1722244383,18537
1722244688,18537
1722244993,18537
1722245298,18537
1722245604,18537
1722245909,18537
1722246214,18537
1722246519,18537
1722246824,18537
1722247130,18537
1722247435,18537
1722247740,18537
1722248045,18537
1722248351,18537
1722248656,18537
1722248961,18537
1722249266,18537
1722249571,18537
1722249877,18537
1722250182,18537
1722250487,18537
1722250792,18537
1722251097,18537
1722251403,18537
1722251708,18537
1722252013,18537
1722252318,18537
1722252624,18537
1722252929,18537
1722253234,18537
1722253539,18537
1722253844,18537
1722254150,18544
1722254455,18544
1722254760,18544
1722255065,18544
1722255371,18571
1722255676,18571
1722255981,18571
1722256286,18571
1722256592,18571
1722256897,18571
1722257202,18571
1722257507,18571
1722257813,18571
1722258118,18571
1722258423,18571
1722258728,18571
1722259034,18571
1722259339,18571
1722259644,18571
1722259950,18571
1722260255,18571
1722260560,18571
1722260866,18571
1722261171,18574
1722261476,18574
1722261781,18574
1722262087,18574
1722262392,18574
1722262697,18574
1722263002,18574
1722263307,18574
1722263613,18574
1722263918,18574
1722264223,18574
1722264528,18574
1722264834,18574
1722265139,18574
1722265444,18574
1722265749,18574
1722266055,18577
1722266360,18577
1722266665,18577
1722266971,18577
1722267276,18687
1722267581,18687
1722267886,18687
1722268192,18687
1722268497,18687
1722268802,18687
1722269107,18687
1722269413,18687
1722269718,18687
1722270024,18687
1722270329,18687
1722270634,18687
1722270939,18687
1722271245,18687
1722271550,18687
1722271855,18707
1722272161,18707
1722272466,18707
1722272771,18707
1722273076,18707
1722273382,18707
