time,lines
1723642380,7623
1723642685,17033
1723642990,17236
1723643295,17261
1723643601,17734
1723643906,17750
1723644211,17778
1723644516,17905
1723644821,17915
1723645127,17916
1723645432,17918
1723645737,17918
1723646042,17920
1723646347,18222
1723646655,18229
1723646963,18229
1723647268,18229
1723647573,18229
1723647878,18231
1723648183,18231
1723648488,18231
1723648793,18231
1723649098,18231
1723649403,18232
1723649708,18233
1723650013,18238
1723650318,18241
1723650623,18241
1723650930,18241
1723651235,18241
1723651540,18241
1723651845,18241
1723652150,18298
1723652455,18298
1723652760,18298
1723653064,18299
1723653369,18299
1723653674,18299
1723653978,18299
1723654283,18300
1723654588,18300
1723654892,18300
1723655197,18300
1723655502,18300
1723655807,18300
1723656112,18300
1723656417,18300
1723656722,18300
1723657027,18300
1723657332,18300
1723657637,18308
1723657942,18308
1723658247,18308
1723658552,18308
1723658858,18308
1723659163,18308
1723659468,18308
1723659776,18324
1723660082,18324
1723660387,18324
1723660692,18324
1723660997,18324
1723661302,18324
1723661607,18327
1723661913,18327
1723662218,18327
1723662524,18327
1723662828,18327
1723663134,18327
1723663439,18327
1723663744,18474
1723664051,18479
1723664359,18479
1723664664,18479
1723664969,18479
1723665274,18479
1723665579,18479
1723665884,18479
1723666189,18479
1723666495,18479
1723666800,18479
1723667105,18479
1723667410,18479
1723667716,18479
1723668021,18479
1723668326,18479
1723668634,18479
1723668939,18484
1723669244,18484
1723669549,18484
1723669854,18484
1723670159,18484
1723670465,18484
1723670770,18484
1723671075,18484
1723671380,18488
1723671686,18488
1723671991,18488
1723672297,18488
1723672604,18488
1723672911,18488
1723673217,18488
1723673521,18488
1723673826,18488
1723674131,18488
1723674435,18489
1723674740,18489
1723675045,18489
1723675350,18489
1723675654,18489
1723675959,18489
1723676264,18489
1723676569,18489
1723676873,18489
1723677178,18489
1723677483,18489
1723677788,18489
1723678092,18489
1723678397,18489
1723678702,18489
1723679007,18489
1723679312,18489
1723679616,18489
1723679921,18489
1723680226,18489
1723680531,18489
1723680835,18489
1723681140,18489
1723681445,18489
1723681750,18495
1723682054,18495
1723682359,18498
1723682664,18498
1723682969,18498
1723683274,18498
1723683579,18498
1723683883,18498
1723684188,18498
1723684493,18498
1723684798,18498
1723685103,18498
1723685408,18498
1723685712,18498
1723686017,18498
1723686322,18618
1723686627,18618
1723686931,18618
1723687236,18899
1723687541,18899
1723687845,18899
1723688150,18902
1723688455,18917
1723688760,18917
1723689064,18917
1723689369,18917
1723689674,18917
1723689979,18917
1723690283,18917
1723690588,18918
1723690893,18918
1723691198,18918
1723691503,18918
1723691807,18918
1723692112,18918
1723692417,18918
1723692721,18918
1723693026,18918
1723693331,18918
1723693636,18918
1723693940,18918
1723694245,18918
1723694550,18918
1723694855,18918
1723695159,18918
1723695464,18918
1723695769,18918
1723696074,18918
1723696379,18918
1723696683,18918
1723696988,18918
1723697293,18918
1723697598,18918
1723697903,18918
1723698207,18918
1723698512,18918
1723698817,18918
1723699122,18920
1723699426,18920
1723699731,18920
1723700036,18924
1723700341,18924
1723700645,18924
1723700950,18924
1723701255,18924
1723701560,18924
1723701865,18924
1723702170,18924
1723702474,18924
1723702779,18924
1723703084,18924
1723703389,18924
1723703693,18924
1723703998,18924
1723704303,18924
1723704608,18924
1723704913,18924
1723705217,18924
1723705522,18924
1723705827,18924
1723706132,18924
1723706437,18924
1723706742,18924
1723707047,18924
1723707352,18924
1723707657,18924
1723707961,18924
1723708266,18924
1723708571,18924
1723708876,18924
1723709181,18924
1723709486,18924
1723709791,18924
1723710095,18924
1723710400,18938
1723710705,18938
1723711010,18948
1723711315,18948
1723711620,18948
1723711924,18948
1723712229,18948
1723712534,18948
1723712839,18948
1723713143,18948
1723713448,18948
1723713753,18948
1723714058,18948
1723714363,18948
1723714668,18948
1723714972,18948
1723715277,18948
1723715582,18948
1723715887,18948
1723716192,18949
1723716497,18949
1723716802,18949
1723717107,18962
1723717412,18962
1723717716,18962
1723718021,18962
1723718326,18962
1723718631,18962
1723718935,18962
1723719240,18962
1723719545,18962
1723719850,18962
1723720155,18962
1723720460,18962
1723720765,18962
1723721069,18966
1723721374,18966
1723721679,18966
1723721984,18966
1723722289,18966
1723722594,18966
1723722899,18966
1723723204,18966
1723723508,18966
1723723813,18966
1723724118,18966
1723724423,18966
1723724727,18966
1723725033,18966
1723725337,18966
1723725642,18966
1723725947,18966
1723726252,18966
1723726557,18966
1723726862,18966
1723727167,18966
1723727471,18966
1723727776,18966
1723728081,18966
1723728386,18966
1723728691,18966
1723728996,18966
1723729301,18966
1723729605,18966
1723729910,18966
1723730215,18966
1723730520,18969
1723730825,18969
1723731130,18969
1723731435,18969
1723731740,18969
1723732045,18969
1723732350,18969
1723732655,18969
