time,lines
1722180341,2719
1722180646,13798
1722180952,13940
1722181257,13987
1722181562,14002
1722181868,14360
1722182173,14366
1722182478,14386
1722182783,14397
1722183089,14400
1722183394,14403
1722183699,14403
1722184005,14423
1722184310,14424
1722184615,14425
1722184921,14427
1722185226,14434
1722185531,14435
1722185837,14451
1722186142,14452
1722186447,14452
1722186753,14452
1722187058,14451
1722187363,14451
1722187669,14451
1722187974,14451
1722188279,14451
1722188585,14451
1722188890,14451
1722189195,14451
1722189501,14458
1722189806,14458
1722190111,14458
1722190417,14458
1722190722,14458
1722191028,14463
1722191333,14468
1722191638,14468
1722191944,14468
1722192249,14468
1722192554,14468
1722192860,14468
1722193165,14468
1722193470,14468
1722193776,14471
1722194081,14473
1722194387,14473
1722194692,14473
1722194997,14473
1722195302,14473
1722195608,14474
1722195913,14471
1722196219,14471
1722196524,14471
1722196829,14471
1722197135,14471
1722197440,14471
1722197745,14471
1722198051,14472
1722198356,14472
1722198661,14472
1722198967,14473
1722199272,14473
1722199577,14473
1722199883,14473
1722200188,14484
1722200493,14484
1722200799,14484
1722201104,14486
1722201409,14486
1722201715,14489
1722202020,14489
1722202325,14489
1722202631,14491
1722202936,14491
1722203242,14491
1722203547,14491
1722203852,14491
1722204158,14491
1722204463,14491
1722204768,14491
1722205074,14491
1722205379,14491
1722205684,14491
1722205990,14491
1722206295,14491
1722206601,14492
1722206906,14492
1722207211,14492
1722207517,14492
1722207822,14493
1722208128,14493
1722208433,14493
1722208738,14494
1722209044,14494
1722209349,14494
1722209654,14494
1722209960,14494
1722210265,14494
1722210570,14494
1722210876,14494
1722211181,14494
1722211486,14494
1722211792,14494
1722212097,14494
1722212402,14494
1722212708,14494
1722213013,14494
1722213318,14496
1722213624,14496
1722213929,14496
1722214234,14496
1722214540,14496
1722214845,14501
1722215150,14501
1722215456,14501
1722215761,14501
1722216067,14501
1722216372,14501
1722216677,14501
1722216983,14501
1722217288,14501
1722217593,14501
1722217899,14501
1722218204,14501
1722218510,14500
1722218815,14500
1722219120,14500
1722219425,14500
1722219731,14500
1722220036,14501
1722220342,14501
1722220647,14501
1722220953,14501
1722221258,14501
1722221563,14499
1722221869,14499
1722222174,14499
1722222479,14499
1722222784,14499
1722223090,14501
1722223395,14501
1722223700,14501
1722224005,14501
1722224311,14501
1722224616,14501
1722224921,14501
1722225227,14501
1722225532,14501
1722225837,14500
1722226142,14500
1722226448,14500
1722226753,14500
1722227058,14500
1722227364,14500
1722227669,14500
1722227975,14500
1722228280,14497
1722228585,14497
1722228891,14497
1722229196,14497
1722229501,14497
1722229807,14497
1722230112,14497
1722230417,14497
1722230723,14497
1722231028,14497
1722231334,14497
1722231639,14497
1722231944,14497
1722232250,14497
1722232555,14497
1722232860,14497
1722233166,14497
1722233471,14499
1722233776,14499
1722234082,14499
1722234387,14499
1722234693,14499
1722234998,14499
1722235303,14499
1722235609,14499
1722235914,14499
1722236219,14499
1722236525,14499
1722236830,14499
1722237135,14499
1722237441,14499
1722237746,14499
1722238051,14499
1722238357,14499
1722238662,14499
1722238967,14499
1722239273,14499
1722239578,14499
1722239883,14499
1722240189,14499
1722240494,14499
1722240800,14499
1722241105,14499
1722241410,14499
1722241716,14499
1722242021,14499
1722242327,14499
1722242632,14499
1722242937,14499
1722243243,14499
1722243548,14499
1722243854,14499
1722244159,14499
1722244465,14499
1722244770,14499
1722245075,14499
1722245381,14499
1722245686,14499
1722245991,14499
1722246297,14499
1722246602,14499
1722246907,14517
1722247213,14517
1722247518,14517
1722247824,14517
1722248129,14517
1722248434,14544
1722248740,14544
1722249045,14544
1722249350,14544
1722249656,14544
1722249961,14544
1722250267,14545
1722250572,14545
1722250877,14545
1722251183,14545
1722251488,14545
1722251794,14545
1722252099,14545
1722252404,14545
1722252710,14545
1722253015,14545
1722253321,14545
1722253626,14545
1722253931,14545
1722254237,14545
1722254542,14545
1722254847,14545
1722255152,14545
1722255458,14545
1722255763,14545
1722256069,14545
1722256374,14545
1722256679,14545
1722256985,14545
1722257290,14545
1722257596,14545
1722257901,14545
1722258206,14545
1722258512,14545
1722258817,14545
1722259122,14545
1722259427,14545
1722259733,14545
1722260038,14545
1722260344,14545
1722260649,14545
1722260954,14545
1722261260,14545
1722261565,14545
1722261870,14545
1722262176,14545
1722262481,14545
1722262786,14545
1722263092,14545
1722263397,14545
1722263702,14545
1722264008,14545
1722264313,14545
1722264618,14545
1722264924,14545
1722265229,14545
1722265535,14545
1722265840,14545
1722266145,14545
1722266451,14545
1722266756,14545
1722267061,14545
1722267367,14545
1722267672,14545
1722267977,14545
1722268283,14545
1722268588,14545
1722268894,14545
1722269199,14545
1722269504,14545
1722269809,14545
1722270115,14545
1722270420,14545
1722270726,14545
1722271031,14545
1722271336,14545
1722271642,14545
1722271947,14545
1722272252,14545
1722272558,14545
1722272863,14545
1722273169,14545
1722273474,14545
1722273779,14545
1722274085,14545
1722274390,14545
1722274695,14545
1722275001,14545
1722275306,14545
1722275612,14545
1722275917,14545
1722276222,14545
1722276527,14545
1722276833,14545
1722277138,14545
1722277443,14545
1722277749,14545
1722278054,14545
1722278360,14545
1722278665,14545
1722278970,14545
1722279276,14545
1722279581,14545
1722279886,14549
1722280192,14549
1722280497,14549
1722280803,14549
1722281108,14549
1722281413,14549
1722281719,14549
1722282024,14549
1722282329,14549
1722282635,14549
1722282940,14549
1722283246,14549
1722283551,14549
1722283856,14549
1722284162,14549
1722284467,14549
1722284772,14549
1722285078,14549
1722285383,14549
1722285688,14549
1722285994,14549
1722286299,14549
1722286604,14549
1722286910,14549
1722287215,14549
1722287520,14549
1722287826,14549
1722288131,14549
1722288436,14549
1722288742,14549
1722289047,14549
1722289353,14549
1722289658,14549
1722289963,14549
1722290269,14549
1722290574,14549
1722290879,14549
1722291185,14549
1722291490,14549
1722291796,14549
1722292101,14549
1722292406,14549
1722292712,14549
1722293017,14549
1722293322,14549
1722293628,14549
1722293933,14550
1722294238,14550
1722294544,14550
1722294849,14550
1722295154,14550
1722295460,14550
1722295765,14550
1722296070,14550
1722296376,14550
1722296681,14550
1722296987,14550
1722297292,14583
1722297597,14583
1722297903,14583
1722298208,14583
1722298514,14583
1722298819,14583
1722299124,14583
1722299430,14583
1722299735,14583
1722300041,14583
1722300346,14583
1722300651,14585
1722300957,14585
1722301262,14585
1722301568,14585
1722301873,14585
1722302178,14585
1722302483,14585
1722302789,14585
1722303094,14587
1722303399,14587
1722303705,14587
1722304010,14587
1722304316,14587
1722304621,14587
1722304926,14587
1722305232,14587
1722305537,14587
1722305842,14587
1722306148,14587
1722306453,14587
1722306759,14587
1722307064,14587
1722307369,14587
1722307675,14587
1722307980,14587
1722308285,14587
1722308591,14587
1722308896,14587
1722309202,14587
1722309507,14587
1722309812,14587
1722310118,14587
1722310423,14587
1722310728,14587
1722311034,14587
1722311339,14587
1722311644,14587
1722311950,14587
1722312255,14587
1722312560,14587
1722312866,14587
1722313171,14587
1722313476,14587
1722313782,14587
1722314087,14587
1722314393,14587
1722314698,14587
1722315003,14587
1722315309,14587
1722315614,14587
1722315920,14587
1722316225,14587
1722316530,14587
1722316836,14587
1722317141,14587
1722317446,14586
1722317752,14586
1722318057,14586
1722318362,14586
1722318668,14586
1722318973,14586
1722319278,14586
1722319584,14586
1722319889,14586
1722320195,14586
1722320500,14586
1722320805,14586
1722321110,14586
1722321416,14586
1722321721,14586
1722322026,14586
1722322332,14586
1722322637,14586
1722322942,14586
1722323247,14586
1722323553,14586
1722323858,14586
1722324163,14586
1722324469,14586
1722324774,14586
1722325080,14586
1722325385,14586
1722325690,14585
1722325996,14585
1722326301,14585
1722326606,14585
1722326912,14585
1722327217,14585
1722327522,14585
1722327828,14585
1722328133,14585
1722328439,14585
1722328744,14585
1722329050,14585
1722329355,14585
1722329660,14585
1722329966,14585
1722330271,14585
1722330576,14585
1722330882,14585
1722331187,14585
1722331492,14585
1722331798,14585
1722332103,14585
1722332408,14585
1722332714,14585
1722333019,14585
1722333324,14585
1722333630,14585
1722333935,14585
1722334240,14585
1722334546,14585
1722334851,14585
1722335157,14585
1722335462,14585
1722335767,14585
1722336073,14585
1722336378,14585
1722336683,14585
1722336989,14585
1722337294,14585
1722337600,14585
1722337905,14585
1722338210,14585
1722338516,14585
1722338821,14585
1722339126,14585
1722339432,14585
1722339737,14585
1722340042,14585
1722340348,14585
1722340653,14585
1722340958,14585
1722341264,14585
1722341569,14585
1722341874,14585
1722342180,14585
1722342485,14585
1722342790,14585
1722343096,14585
1722343401,14585
1722343707,14585
1722344012,14585
1722344317,14585
1722344623,14585
1722344928,14585
1722345233,14585
1722345539,14585
1722345844,14585
1722346150,14586
1722346455,14586
1722346760,14586
1722347066,14586
1722347371,14586
1722347676,14586
1722347982,14586
1722348287,14586
1722348592,14586
1722348898,14586
1722349203,14586
1722349509,14586
1722349814,14586
1722350119,14586
1722350425,14586
1722350730,14586
1722351036,14586
1722351341,14586
1722351646,14586
1722351952,14586
1722352257,14586
1722352562,14586
1722352868,14586
