time,lines
1724163296,20
1724163601,13782
1724163906,13919
1724164212,13934
1724164517,13935
1724164822,14303
1724165127,14316
1724165433,14316
1724165738,14347
1724166044,14348
1724166349,14401
1724166654,14404
1724166959,14433
1724167265,14433
1724167570,14435
1724167875,14493
1724168181,14495
1724168486,14497
1724168791,14497
1724169097,14500
1724169402,14500
1724169707,14500
1724170012,14502
1724170318,14500
1724170623,14503
1724170929,14504
1724171234,14504
1724171539,14504
1724171844,14504
1724172150,14504
1724172455,14504
1724172760,14504
1724173065,14504
1724173371,14504
1724173676,14506
1724173982,14506
1724174287,14509
1724174592,14509
1724174898,14509
1724175203,14511
1724175508,14512
1724175813,14512
1724176119,14512
1724176424,14512
1724176729,14516
1724177035,14516
1724177340,14516
1724177645,14516
1724177950,14516
1724178255,14516
1724178560,14516
1724178865,14516
1724179170,14516
1724179476,14516
1724179781,14516
1724180087,14516
1724180392,14516
1724180697,14516
1724181003,14516
1724181308,14516
1724181613,14516
1724181919,14516
1724182224,14516
1724182529,14516
1724182835,14516
1724183140,14516
1724183445,14516
1724183750,14518
1724184056,14519
1724184361,14519
1724184666,14519
1724184972,14532
1724185277,14534
1724185582,14534
1724185888,14534
1724186193,14534
1724186498,14534
1724186804,14537
1724187109,14537
1724187414,14537
1724187719,14537
1724188025,14537
1724188330,14539
1724188635,14537
1724188941,14537
1724189246,14539
1724189551,14539
1724189857,14539
1724190162,14539
1724190467,14539
1724190772,14539
1724191078,14539
1724191383,14539
1724191688,14539
1724191993,14539
1724192299,14539
1724192604,14539
1724192909,14539
1724193215,14539
1724193520,14542
1724193825,14542
1724194131,14542
1724194436,14542
1724194741,14542
1724195046,14542
1724195352,14542
1724195657,14542
1724195962,14542
1724196267,14542
1724196573,14542
1724196878,14542
1724197184,14542
1724197489,14542
1724197794,14542
1724198099,14542
1724198405,14542
1724198710,14542
1724199015,14542
1724199321,14542
1724199626,14542
1724199932,14542
1724200237,14542
1724200542,14542
1724200847,14542
1724201153,14542
1724201458,14542
1724201763,14542
1724202069,14542
1724202374,14542
1724202679,14542
1724202984,14542
1724203289,14542
1724203595,14541
1724203900,14538
1724204205,14538
1724204511,14538
1724204816,14538
1724205121,14538
1724205427,14538
1724205732,14538
1724206038,14538
1724206343,14538
1724206648,14538
1724206954,14538
1724207259,14538
1724207564,14538
1724207869,14538
1724208175,14538
1724208480,14538
1724208785,14535
1724209091,14535
1724209396,14535
1724209701,14535
1724210007,14535
1724210312,14535
1724210617,14535
1724210923,14535
1724211228,14535
1724211533,14535
1724211839,14535
1724212144,14535
1724212449,14535
1724212754,14535
1724213060,14535
1724213365,14535
1724213670,14535
1724213976,14535
1724214281,14535
1724214586,14535
1724214892,14535
1724215197,14535
1724215502,14535
1724215807,14535
1724216113,14535
1724216418,14535
1724216723,14535
1724217029,14535
1724217334,14535
1724217639,14535
1724217945,14535
1724218250,14535
1724218555,14535
1724218860,14535
1724219166,14535
1724219471,14537
1724219776,14537
1724220082,14537
1724220387,14537
1724220692,14537
1724220998,14537
1724221303,14537
1724221608,14537
1724221914,14537
1724222219,14537
1724222524,14537
1724222829,14537
1724223135,14537
1724223440,14537
1724223745,14537
1724224050,14537
1724224356,14537
1724224661,14537
1724224966,14537
1724225271,14537
1724225577,14537
1724225882,14537
1724226187,14537
1724226493,14537
1724226798,14537
1724227103,14537
1724227408,14537
1724227714,14537
1724228019,14537
1724228324,14537
1724228630,14537
1724228935,14537
1724229240,14537
1724229546,14537
1724229851,14537
1724230156,14537
1724230462,14537
1724230767,14537
1724231072,14537
1724231377,14537
1724231683,14537
1724231988,14537
1724232293,14537
1724232598,14537
1724232903,14537
1724233209,14537
1724233514,14537
1724233820,14537
1724234125,14537
1724234430,14537
1724234735,14537
1724235041,14537
1724235346,14537
1724235652,14537
1724235957,14537
1724236263,14538
1724236568,14538
1724236874,14538
1724237179,14538
1724237484,14538
1724237790,14538
1724238095,14538
1724238400,14538
1724238706,14538
1724239011,14538
1724239316,14538
1724239622,14538
1724239927,14538
1724240232,14538
1724240538,14538
1724240843,14538
1724241149,14538
1724241454,14538
1724241759,14538
1724242065,14556
1724242370,14556
1724242675,14556
1724242981,14556
1724243286,14556
1724243592,14556
1724243897,14556
1724244202,14556
1724244508,14556
1724244813,14556
1724245118,14556
1724245424,14556
1724245729,14556
1724246034,14556
1724246340,14556
1724246645,14556
1724246950,14556
1724247256,14556
1724247561,14556
1724247866,14556
1724248172,14556
1724248477,14556
1724248783,14556
1724249088,14556
1724249394,14556
1724249699,14556
1724250005,14556
1724250310,14556
1724250616,14556
1724250921,14556
1724251226,14556
1724251532,14556
1724251837,14556
1724252142,14556
1724252448,14556
1724252753,14583
1724253059,14583
1724253364,14583
1724253669,14583
1724253975,14583
1724254280,14585
1724254586,14585
1724254891,14585
1724255197,14585
1724255502,14585
1724255807,14585
1724256112,14585
1724256418,14585
1724256723,14585
1724257028,14585
1724257334,14585
1724257639,14585
1724257945,14585
1724258250,14585
1724258556,14585
1724258861,14585
1724259166,14585
1724259471,14585
1724259777,14585
1724260082,14585
1724260388,14585
1724260693,14585
1724260998,14585
1724261304,14585
1724261609,14585
1724261914,14585
1724262219,14585
1724262524,14585
1724262830,14585
1724263135,14585
1724263440,14585
1724263746,14585
1724264051,14585
1724264356,14585
1724264661,14585
1724264967,14585
1724265272,14585
1724265577,14585
1724265882,14585
1724266187,14585
1724266492,14585
1724266798,14585
1724267103,14585
1724267408,14585
1724267714,14585
1724268019,14585
1724268324,14585
1724268629,14585
1724268935,14585
1724269240,14585
1724269545,14585
1724269851,14585
1724270156,14585
1724270461,14585
1724270767,14585
1724271072,14585
1724271377,14585
1724271683,14585
1724271988,14585
1724272293,14585
1724272599,14585
1724272904,14585
1724273209,14585
1724273515,14585
1724273820,14585
1724274125,14585
1724274430,14585
1724274736,14585
1724275041,14585
1724275347,14585
1724275652,14585
1724275957,14585
1724276263,14585
1724276568,14585
1724276873,14585
1724277179,14585
1724277484,14585
1724277790,14585
1724278095,14585
1724278400,14585
1724278705,14585
1724279011,14585
1724279316,14585
1724279621,14585
1724279926,14585
1724280232,14585
1724280537,14585
1724280842,14585
1724281147,14585
1724281453,14585
1724281758,14585
1724282064,14585
1724282369,14585
1724282675,14585
1724282980,14585
1724283285,14585
1724283591,14585
1724283896,14585
1724284202,14585
1724284507,14585
1724284812,14585
1724285118,14585
1724285423,14585
1724285728,14585
1724286034,14585
1724286339,14585
1724286644,14585
1724286950,14585
1724287255,14585
1724287561,14585
1724287867,14585
1724288172,14585
1724288477,14585
1724288782,14585
1724289088,14585
1724289393,14585
1724289698,14585
1724290004,14585
1724290309,14585
1724290614,14585
1724290919,14585
1724291225,14585
1724291530,14585
1724291836,14585
1724292141,14585
1724292446,14585
1724292752,14585
1724293057,14588
1724293363,14588
1724293668,14588
1724293973,14588
1724294279,14588
1724294584,14588
1724294889,14588
1724295195,14588
1724295500,14588
1724295805,14588
1724296111,14588
1724296416,14588
1724296721,14588
1724297026,14588
1724297332,14588
1724297637,14588
1724297942,14588
1724298247,14588
1724298552,14588
1724298858,14588
1724299163,14588
1724299469,14588
1724299774,14588
1724300080,14588
1724300385,14588
1724300690,14588
1724300996,14588
1724301301,14588
1724301606,14588
1724301912,14588
1724302217,14588
1724302522,14588
1724302828,14588
1724303133,14588
1724303438,14588
1724303747,14588
1724304052,14588
1724304358,14588
1724304663,14588
1724304968,14588
1724305274,14588
