time,lines
1722250567,20
1722250876,13961
1722251185,14156
1722251493,14157
1722251802,14162
1722252110,14184
1722252418,14218
1722252726,14218
1722253035,14218
1722253344,14220
1722253651,14220
1722253960,14221
1722254268,14238
1722254577,14238
1722254886,14238
1722255194,14241
1722255503,14246
1722255812,14246
1722256120,14246
1722256429,14248
1722256738,14248
1722257046,14248
1722257355,14248
1722257663,14252
1722257972,14252
1722258280,14254
1722258589,14254
1722258897,14254
1722259206,14254
1722259514,14254
1722259823,14254
1722260131,14252
1722260440,14253
1722260748,14253
1722261057,14253
1722261364,14253
1722261673,14253
1722261981,14253
1722262290,14253
1722262598,14253
1722262907,14255
1722263215,14255
1722263524,14255
1722263832,14255
1722264140,14255
1722264449,14255
1722264757,14255
1722265066,14255
1722265375,14255
1722265683,14255
1722265991,14255
1722266300,14255
1722266608,14255
1722266917,14255
1722267225,14255
1722267534,14255
1722267842,14255
1722268150,14255
1722268459,14255
1722268767,14255
1722269076,14255
1722269384,14255
1722269693,14255
1722270001,14255
1722270310,14255
1722270618,14255
1722270927,14255
1722271235,14255
1722271544,14255
1722271853,14255
1722272161,14257
1722272470,14257
1722272778,14257
1722273087,14257
1722273395,14257
1722273704,14257
1722274012,14257
1722274321,14257
1722274630,14257
1722274938,14257
1722275246,14257
1722275555,14257
1722275863,14257
1722276172,14259
1722276480,14259
1722276789,14259
1722277097,14259
1722277406,14259
1722277715,14259
1722278023,14259
1722278332,14259
1722278641,14259
1722278949,14259
1722279257,14259
1722279565,14259
1722279873,14259
1722280182,14259
1722280490,14259
1722280799,14259
1722281107,14259
1722281415,14259
1722281724,14259
1722282032,14259
1722282341,14259
1722282649,14259
1722282957,14259
1722283266,14259
1722283574,14259
1722283883,14259
1722284191,14259
1722284500,14259
1722284809,14259
1722285117,14259
1722285426,14259
1722285734,14259
1722286043,14259
1722286352,14259
1722286659,14259
1722286968,14259
1722287276,14259
1722287585,14259
1722287893,14259
1722288202,14259
1722288510,14259
1722288819,14259
1722289127,14259
1722289436,14259
1722289745,14259
1722290053,14259
1722290361,14259
1722290670,14259
1722290978,14259
1722291287,14259
1722291595,14259
1722291904,14259
1722292213,14259
1722292521,14259
1722292830,14259
1722293138,14259
1722293447,14259
1722293756,14259
1722294064,14259
1722294373,14259
1722294681,14259
1722294990,14259
1722295299,14259
1722295607,14259
1722295916,14259
1722296225,14259
1722296533,14259
1722296842,14259
1722297151,14259
1722297459,14259
1722297768,14260
1722298077,14260
1722298385,14260
1722298693,14260
1722299002,14260
1722299310,14260
1722299619,14260
1722299928,14260
1722300237,14260
1722300545,14260
1722300853,14260
1722301161,14260
1722301470,14260
1722301778,14260
1722302086,14260
1722302395,14260
1722302704,14260
1722303012,14260
1722303321,14260
1722303630,14260
1722303938,14260
1722304247,14260
1722304556,14260
1722304864,14260
1722305173,14260
1722305482,14260
1722305790,14260
1722306099,14260
1722306408,14260
1722306716,14262
1722307025,14262
1722307333,14262
1722307642,14262
1722307951,14262
1722308260,14262
1722308568,14262
1722308877,14262
1722309186,14262
1722309494,14262
1722309803,14262
1722310111,14262
1722310420,14262
1722310729,14262
1722311037,14262
1722311346,14262
1722311654,14262
1722311963,14262
1722312272,14262
1722312580,14262
1722312888,14262
1722313197,14262
1722313506,14262
1722313814,14262
1722314123,14262
1722314432,14262
1722314740,14262
1722315049,14262
1722315358,14262
1722315667,14262
1722315975,14262
1722316284,14262
1722316593,14262
1722316902,14262
1722317210,14262
1722317519,14262
1722317828,14264
1722318136,14264
1722318445,14264
1722318754,14264
1722319062,14264
1722319371,14264
1722319680,14264
1722319989,14264
1722320297,14264
1722320606,14264
1722320915,14264
1722321223,14264
1722321532,14264
1722321841,14264
1722322149,14264
1722322458,14264
1722322767,14264
1722323075,14264
1722323384,14264
1722323692,14264
1722324001,14264
1722324309,14264
1722324618,14264
1722324929,14264
1722325240,14264
1722325548,14264
1722325858,14264
1722326168,14264
1722326480,14264
1722326794,14264
1722327104,14264
1722327415,14264
1722327726,14264
1722328037,14266
1722328351,14266
1722328662,14266
1722328973,14266
1722329286,14268
1722329594,14268
1722329903,14268
1722330212,14268
1722330520,14268
1722330829,14268
1722331137,14268
1722331446,14268
1722331754,14268
1722332063,14268
1722332372,14268
1722332680,14268
1722332989,14268
1722333298,14268
1722333606,14268
1722333915,14268
1722334224,14268
1722334536,14268
1722334848,14268
1722335163,14268
1722335477,14268
1722335788,14268
1722336101,14268
1722336410,14268
1722336718,14268
1722337027,14268
1722337335,14268
1722337644,14268
1722337953,14268
1722338261,14268
1722338570,14268
1722338878,14268
1722339187,14268
1722339496,14268
1722339808,14268
1722340122,14268
1722340433,14268
1722340744,14268
1722341056,14268
1722341369,14268
1722341686,14268
1722341997,14268
1722342308,14268
1722342622,14268
1722342934,14268
1722343246,14268
1722343557,14268
1722343869,14268
1722344182,14268
1722344496,14268
1722344807,14268
1722345119,14268
1722345429,14268
1722345740,14268
1722346049,14268
1722346358,14268
1722346667,14266
1722346976,14266
1722347284,14266
1722347593,14266
1722347901,14266
1722348210,14266
1722348518,14266
1722348827,14266
1722349135,14266
1722349444,14266
1722349753,14266
1722350062,14266
1722350371,14266
1722350680,14266
1722350988,14266
1722351296,14266
1722351605,14266
1722351914,14266
1722352222,14266
1722352531,14266
1722352839,14266
1722353148,14266
1722353457,14266
1722353765,14266
1722354074,14266
1722354383,14266
1722354691,14266
1722354999,14266
1722355308,14266
1722355616,14266
1722355924,14266
1722356233,14266
1722356542,14266
1722356850,14266
1722357159,14266
1722357468,14266
1722357776,14266
1722358085,14266
1722358394,14266
1722358702,14266
1722359011,14266
1722359320,14266
1722359628,14266
1722359937,14266
1722360246,14266
1722360554,14266
1722360863,14266
1722361172,14266
1722361480,14266
1722361789,14266
1722362097,14266
1722362406,14266
1722362715,14266
1722363024,14266
1722363332,14266
1722363641,14266
1722363950,14266
1722364258,14266
1722364567,14266
1722364876,14266
1722365185,14266
1722365493,14266
1722365802,14266
1722366111,14264
1722366419,14264
1722366728,14264
1722367037,14264
1722367345,14264
1722367654,14264
1722367962,14264
1722368271,14264
1722368579,14264
1722368888,14264
1722369196,14264
1722369505,14264
1722369814,14264
1722370122,14264
1722370431,14264
1722370740,14264
1722371049,14264
1722371357,14264
1722371666,14264
1722371975,14264
1722372283,14264
1722372592,14264
1722372900,14264
1722373209,14264
1722373518,14264
1722373826,14264
1722374135,14264
1722374444,14264
1722374752,14264
1722375061,14264
1722375370,14264
1722375678,14264
1722375987,14264
1722376295,14264
1722376604,14264
1722376913,14264
1722377221,14264
1722377530,14264
1722377839,14264
1722378147,14264
1722378456,14264
1722378765,14264
1722379073,14264
1722379382,14264
1722379690,14264
1722379999,14264
1722380308,14264
1722380617,14264
1722380925,14264
1722381234,14264
1722381543,14264
1722381851,14264
1722382160,14264
1722382469,14264
1722382777,14264
1722383085,14264
1722383394,14266
1722383702,14266
1722384011,14266
1722384319,14266
1722384628,14266
1722384936,14266
1722385245,14266
1722385553,14266
1722385861,14266
1722386170,14266
1722386479,14266
1722386787,14266
1722387096,14266
1722387404,14266
1722387713,14266
1722388021,14266
1722388330,14266
1722388639,14266
1722388947,14266
1722389256,14266
1722389564,14266
1722389873,14266
1722390182,14266
1722390490,14266
1722390799,14266
1722391107,14268
1722391416,14268
1722391725,14268
1722392033,14268
1722392342,14268
1722392651,14268
1722392959,14268
1722393268,14268
1722393576,14268
1722393884,14268
1722394193,14268
1722394502,14268
1722394811,14268
1722395119,14268
1722395428,14268
1722395736,14268
1722396045,14268
1722396354,14268
1722396662,14268
1722396971,14268
1722397279,14268
1722397588,14268
1722397897,14268
1722398206,14268
1722398514,14268
1722398823,14268
1722399132,14268
1722399440,14268
1722399749,14268
1722400058,14268
1722400366,14271
1722400675,14271
1722400984,14271
1722401292,14271
1722401601,14271
1722401910,14271
1722402218,14271
1722402527,14273
1722402836,14273
1722403144,14273
1722403453,14273
1722403762,14273
1722404070,14273
1722404379,14273
1722404688,14273
1722404996,14274
1722405305,14274
1722405613,14274
1722405922,14274
1722406231,14274
1722406540,14274
1722406848,14274
1722407157,14274
1722407466,14274
1722407774,14274
1722408083,14274
1722408391,14274
1722408700,14274
1722409008,14274
1722409317,14274
1722409626,14274
1722409934,14274
1722410242,14274
1722410551,14274
1722410859,14274
1722411168,14274
1722411477,14274
1722411785,14274
1722412094,14274
1722412403,14274
1722412712,14274
1722413020,14274
1722413329,14274
1722413638,14274
1722413946,14274
1722414255,14274
1722414563,14274
1722414872,14274
1722415181,14274
1722415489,14274
1722415798,14274
1722416107,14274
1722416415,14274
1722416724,14274
1722417032,14274
1722417341,14274
1722417650,14274
1722417958,14274
1722418267,14274
