time,lines
1723817977,20
1723818286,13983
1723818594,13990
1723818903,14142
1723819211,14144
1723819520,14146
1723819828,14146
1723820137,14146
1723820445,14148
1723820754,14166
1723821063,14193
1723821372,14197
1723821680,14239
1723821989,14239
1723822298,14239
1723822606,14239
1723822915,14239
1723823223,14239
1723823531,14239
1723823840,14239
1723824148,14239
1723824456,14239
1723824765,14240
1723825073,14240
1723825381,14240
1723825690,14240
1723825998,14240
1723826307,14240
1723826615,14243
1723826924,14247
1723827232,14247
1723827541,14247
1723827849,14249
1723828158,14249
1723828466,14249
1723828774,14250
1723829083,14250
1723829391,14250
1723829700,14250
1723830009,14250
1723830317,14250
1723830626,14253
1723830934,14253
1723831243,14253
1723831551,14253
1723831859,14253
1723832168,14253
1723832477,14253
1723832785,14253
1723833094,14253
1723833402,14253
1723833710,14255
1723834019,14255
1723834327,14255
1723834636,14255
1723834944,14255
1723835253,14255
1723835561,14255
1723835870,14255
1723836178,14255
1723836487,14255
1723836796,14257
1723837104,14257
1723837413,14257
1723837721,14257
1723838030,14257
1723838339,14257
1723838647,14257
1723838956,14257
1723839264,14257
1723839573,14258
1723839881,14258
1723840190,14258
1723840498,14258
1723840806,14258
1723841115,14258
1723841424,14258
1723841732,14258
1723842041,14261
1723842349,14261
1723842658,14261
1723842966,14261
1723843275,14261
1723843583,14261
1723843892,14261
1723844200,14261
1723844508,14261
1723844817,14261
1723845125,14261
1723845434,14261
1723845742,14261
1723846051,14261
1723846359,14261
1723846668,14261
1723846976,14260
1723847285,14260
1723847593,14260
1723847902,14260
1723848210,14260
1723848519,14260
1723848828,14260
1723849137,14260
1723849445,14260
1723849754,14260
1723850062,14260
1723850371,14260
1723850679,14260
1723850988,14260
1723851296,14260
1723851605,14260
1723851913,14260
1723852221,14260
1723852530,14260
1723852839,14263
1723853147,14263
1723853455,14263
1723853764,14265
1723854072,14265
1723854381,14265
1723854689,14265
1723854997,14265
1723855306,14265
1723855614,14265
1723855922,14265
1723856231,14265
1723856539,14265
1723856848,14265
1723857157,14265
1723857465,14265
1723857774,14265
1723858082,14265
1723858391,14265
1723858699,14265
1723859007,14265
1723859316,14265
1723859624,14265
1723859933,14265
1723860241,14265
1723860550,14265
1723860858,14265
1723861167,14265
1723861475,14265
1723861783,14265
1723862092,14265
1723862400,14265
1723862709,14265
1723863017,14265
1723863325,14262
1723863634,14262
1723863942,14262
1723864250,14262
1723864559,14262
1723864867,14262
1723865176,14262
1723865484,14262
1723865792,14262
1723866101,14262
1723866409,14262
1723866718,14262
1723867026,14262
1723867335,14262
1723867643,14262
1723867952,14262
1723868260,14262
1723868569,14262
1723868878,14264
1723869186,14264
1723869494,14264
1723869803,14264
1723870111,14264
1723870420,14264
1723870729,14264
1723871038,14264
1723871346,14264
1723871655,14264
1723871964,14264
1723872273,14264
1723872581,14264
1723872890,14264
1723873199,14264
1723873508,14264
1723873816,14264
1723874125,14264
1723874434,14264
1723874743,14264
1723875051,14264
1723875360,14264
1723875668,14264
1723875977,14264
1723876286,14264
1723876594,14264
1723876903,14264
1723877211,14264
1723877520,14264
1723877829,14264
1723878137,14264
1723878446,14264
1723878754,14264
1723879063,14264
1723879372,14264
1723879680,14264
1723879989,14264
1723880297,14264
1723880606,14264
1723880914,14264
1723881223,14264
1723881532,14264
1723881840,14264
1723882149,14264
1723882458,14264
1723882767,14264
1723883075,14264
1723883384,14264
1723883693,14264
1723884002,14264
1723884310,14264
1723884619,14264
1723884928,14264
1723885236,14264
1723885545,14264
1723885854,14264
1723886163,14264
1723886471,14264
1723886780,14264
1723887089,14264
1723887397,14264
1723887706,14264
1723888015,14264
1723888324,14264
1723888632,14264
1723888941,14264
1723889250,14264
1723889558,14264
1723889867,14264
1723890175,14264
1723890484,14264
1723890792,14264
1723891101,14264
1723891410,14264
1723891719,14264
1723892027,14264
1723892335,14264
1723892644,14264
1723892953,14265
1723893261,14265
1723893570,14265
1723893878,14265
1723894187,14265
1723894495,14265
1723894804,14265
1723895113,14265
1723895422,14265
1723895730,14265
1723896039,14265
1723896348,14265
1723896656,14265
1723896965,14265
1723897273,14265
1723897582,14265
1723897891,14265
1723898199,14263
1723898508,14263
1723898817,14263
1723899125,14263
1723899434,14263
1723899743,14263
1723900051,14263
